plan_name,with_phone,roam_asia,roam_world,caller_id_int,price_monthly,contract_period,local_data,roam_data,talktime,sms
Priority L,1,1,1,0,0.3675889328063241,1.0,0.13415892672858618,0.06666666666666667,0.41176470588235287,0.41176470588235287
Priority Pro,1,1,1,0,0.5652173913043478,1.0,0.20639834881320948,0.1,0.6470588235294117,0.6470588235294117
Priority Fam,1,1,1,1,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0
XS,1,0,0,0,0.1067193675889328,1.0,0.0,0.0,0.0,0.0
S,1,0,0,0,0.1699604743083004,1.0,0.07223942208462332,0.0,0.11764705882352941,0.11764705882352941
M,1,1,1,0,0.2490118577075099,1.0,0.10319917440660473,0.03333333333333333,0.2941176470588235,0.2941176470588235
Core,0,1,0,1,0.01976284584980237,0.0,0.12383900928792568,0.03333333333333333,0.3529411764705882,0.3529411764705882
Lite,0,0,0,1,0.0,0.5,0.03095975232198142,0.0,0.1764705882352941,0.1764705882352941
Priority Plus,0,1,0,1,0.0790513833992095,0.0,0.17543859649122806,0.1,0.5294117647058822,0.5294117647058822
Priority Ultra,0,1,0,1,0.17786561264822132,0.0,0.9999999999999999,0.2,0.8235294117647058,0.8235294117647058
